id,dep,jour,jour_fr,indic_hosp,indic_rea,indic_rad,indic_dc
612020-03-210,61,2020-03-21,21 mars 2020,0,0,0,0
622020-03-210,62,2020-03-21,21 mars 2020,11,2,6,0
632020-03-210,63,2020-03-21,21 mars 2020,2,1,2,0
642020-03-210,64,2020-03-21,21 mars 2020,5,2,0,0
652020-03-210,65,2020-03-21,21 mars 2020,3,0,0,0
662020-03-210,66,2020-03-21,21 mars 2020,1,1,0,1
672020-03-210,67,2020-03-21,21 mars 2020,67,21,10,3
682020-03-210,68,2020-03-21,21 mars 2020,83,8,39,20
692020-03-210,69,2020-03-21,21 mars 2020,71,7,4,2
702020-03-210,70,2020-03-21,21 mars 2020,4,2,0,0
712020-03-210,71,2020-03-21,21 mars 2020,11,1,10,2
722020-03-210,72,2020-03-21,21 mars 2020,3,0,0,0
732020-03-210,73,2020-03-21,21 mars 2020,2,0,0,0
742020-03-210,74,2020-03-21,21 mars 2020,15,1,6,1
752020-03-210,75,2020-03-21,21 mars 2020,138,34,35,7
762020-03-210,76,2020-03-21,21 mars 2020,17,4,1,0
772020-03-210,77,2020-03-21,21 mars 2020,31,9,2,3
782020-03-210,78,2020-03-21,21 mars 2020,57,10,14,2
792020-03-210,79,2020-03-21,21 mars 2020,3,0,1,0
802020-03-210,80,2020-03-21,21 mars 2020,30,6,5,5
812020-03-210,81,2020-03-21,21 mars 2020,1,0,0,1
822020-03-210,82,2020-03-21,21 mars 2020,2,1,0,0
832020-03-210,83,2020-03-21,21 mars 2020,19,3,12,0
842020-03-210,84,2020-03-21,21 mars 2020,7,2,1,0
852020-03-210,85,2020-03-21,21 mars 2020,0,1,2,0
862020-03-210,86,2020-03-21,21 mars 2020,3,2,1,0
872020-03-210,87,2020-03-21,21 mars 2020,3,0,0,1
882020-03-210,88,2020-03-21,21 mars 2020,23,7,7,7
892020-03-210,89,2020-03-21,21 mars 2020,2,0,0,0
902020-03-210,90,2020-03-21,21 mars 2020,34,2,10,9
912020-03-210,91,2020-03-21,21 mars 2020,42,8,1,2
922020-03-210,92,2020-03-21,21 mars 2020,99,17,22,9
932020-03-210,93,2020-03-21,21 mars 2020,51,10,6,1
942020-03-210,94,2020-03-21,21 mars 2020,57,6,12,0
952020-03-210,95,2020-03-21,21 mars 2020,74,10,18,4
9712020-03-210,971,2020-03-21,21 mars 2020,0,0,0,0
9722020-03-210,972,2020-03-21,21 mars 2020,0,0,0,0
9732020-03-210,973,2020-03-21,21 mars 2020,0,0,0,0
9742020-03-210,974,2020-03-21,21 mars 2020,0,0,0,0
9762020-03-210,976,2020-03-21,21 mars 2020,0,0,0,0
012020-03-220,1,2020-03-22,22 mars 2020,3,1,1,0
022020-03-220,2,2020-03-22,22 mars 2020,13,1,8,3
032020-03-220,3,2020-03-22,22 mars 2020,1,0,2,0
042020-03-220,4,2020-03-22,22 mars 2020,0,0,0,0
052020-03-220,5,2020-03-22,22 mars 2020,3,0,0,0
062020-03-220,6,2020-03-22,22 mars 2020,2,1,2,2
072020-03-220,7,2020-03-22,22 mars 2020,2,0,0,0
082020-03-220,8,2020-03-22,22 mars 2020,1,0,0,0
092020-03-220,9,2020-03-22,22 mars 2020,1,0,0,0
102020-03-220,10,2020-03-22,22 mars 2020,9,0,0,0
112020-03-220,11,2020-03-22,22 mars 2020,5,1,0,1
122020-03-220,12,2020-03-22,22 mars 2020,2,0,0,0
132020-03-220,13,2020-03-22,22 mars 2020,48,1,11,0
142020-03-220,14,2020-03-22,22 mars 2020,10,2,0,0
152020-03-220,15,2020-03-22,22 mars 2020,0,1,0,0
162020-03-220,16,2020-03-22,22 mars 2020,3,2,0,1
172020-03-220,17,2020-03-22,22 mars 2020,2,1,1,0
182020-03-220,18,2020-03-22,22 mars 2020,0,0,0,0
192020-03-220,19,2020-03-22,22 mars 2020,1,0,0,1
212020-03-220,21,2020-03-22,22 mars 2020,42,11,27,3
222020-03-220,22,2020-03-22,22 mars 2020,0,1,0,0
232020-03-220,23,2020-03-22,22 mars 2020,1,0,0,0
242020-03-220,24,2020-03-22,22 mars 2020,2,0,0,0
252020-03-220,25,2020-03-22,22 mars 2020,24,1,4,3
262020-03-220,26,2020-03-22,22 mars 2020,5,2,1,1
272020-03-220,27,2020-03-22,22 mars 2020,5,1,0,0
282020-03-220,28,2020-03-22,22 mars 2020,2,0,0,0
292020-03-220,29,2020-03-22,22 mars 2020,6,0,3,1
2A2020-03-220,2A,2020-03-22,22 mars 2020,7,2,1,2
2B2020-03-220,2B,2020-03-22,22 mars 2020,0,0,0,0
302020-03-220,30,2020-03-22,22 mars 2020,5,0,0,1
312020-03-220,31,2020-03-22,22 mars 2020,14,3,2,0
322020-03-220,32,2020-03-22,22 mars 2020,0,0,0,0
332020-03-220,33,2020-03-22,22 mars 2020,9,1,0,0
342020-03-220,34,2020-03-22,22 mars 2020,11,4,7,2
352020-03-220,35,2020-03-22,22 mars 2020,4,2,0,0
362020-03-220,36,2020-03-22,22 mars 2020,0,0,0,0
372020-03-220,37,2020-03-22,22 mars 2020,1,1,0,0
382020-03-220,38,2020-03-22,22 mars 2020,8,2,1,1
392020-03-220,39,2020-03-22,22 mars 2020,2,0,0,0
402020-03-220,40,2020-03-22,22 mars 2020,0,0,0,0
412020-03-220,41,2020-03-22,22 mars 2020,1,0,0,0
422020-03-220,42,2020-03-22,22 mars 2020,31,5,2,2
432020-03-220,43,2020-03-22,22 mars 2020,2,0,1,0
442020-03-220,44,2020-03-22,22 mars 2020,15,4,1,1
452020-03-220,45,2020-03-22,22 mars 2020,10,6,4,0
462020-03-220,46,2020-03-22,22 mars 2020,0,0,0,0
472020-03-220,47,2020-03-22,22 mars 2020,2,1,0,0
482020-03-220,48,2020-03-22,22 mars 2020,2,0,1,0
492020-03-220,49,2020-03-22,22 mars 2020,7,1,7,0
502020-03-220,50,2020-03-22,22 mars 2020,2,2,0,0
512020-03-220,51,2020-03-22,22 mars 2020,28,5,3,3
522020-03-220,52,2020-03-22,22 mars 2020,2,0,0,0
532020-03-220,53,2020-03-22,22 mars 2020,1,0,0,0
542020-03-220,54,2020-03-22,22 mars 2020,44,23,10,2
552020-03-220,55,2020-03-22,22 mars 2020,0,0,0,0
562020-03-220,56,2020-03-22,22 mars 2020,11,5,4,1
572020-03-220,57,2020-03-22,22 mars 2020,65,8,12,11
582020-03-220,58,2020-03-22,22 mars 2020,1,1,0,0
592020-03-220,59,2020-03-22,22 mars 2020,32,7,2,7
602020-03-220,60,2020-03-22,22 mars 2020,14,1,4,1
612020-03-220,61,2020-03-22,22 mars 2020,0,0,0,0
622020-03-220,62,2020-03-22,22 mars 2020,6,2,4,0
632020-03-220,63,2020-03-22,22 mars 2020,1,1,0,0
642020-03-220,64,2020-03-22,22 mars 2020,3,0,0,0
652020-03-220,65,2020-03-22,22 mars 2020,2,0,1,0
662020-03-220,66,2020-03-22,22 mars 2020,41,7,1,0
672020-03-220,67,2020-03-22,22 mars 2020,79,16,0,11
682020-03-220,68,2020-03-22,22 mars 2020,50,8,13,16
692020-03-220,69,2020-03-22,22 mars 2020,56,9,10,6
702020-03-220,70,2020-03-22,22 mars 2020,0,1,0,0
712020-03-220,71,2020-03-22,22 mars 2020,42,0,27,2
722020-03-220,72,2020-03-22,22 mars 2020,5,1,1,0
732020-03-220,73,2020-03-22,22 mars 2020,8,1,0,0
742020-03-220,74,2020-03-22,22 mars 2020,16,3,2,2
752020-03-220,75,2020-03-22,22 mars 2020,147,31,33,4
